Model,Prompt (Scenariusz),Nazwa Pliku,Ocena Długość (0-2),Ocena Tempo (0-2),Ocena Tonacja (0-2),Ocena Głośność (0-2),Ocena Szczyt (0-2),Ocena Dynamika (0-2),Ocena Stereo (0-2),SUMA (0-14),Ścieżka
ACE-Step,"Pathetic film music for orchestra, without choir, f-minor, 80 bpm, 100 seconds",Sample1.wav,2,1,0,1,1,2,2,9,samples\ACE-Step\Film music\Sample1.wav
ACE-Step,"Pathetic film music for orchestra, without choir, f-minor, 80 bpm, 100 seconds",Sample2.wav,2,1,0,1,1,2,2,9,samples\ACE-Step\Film music\Sample2.wav
ACE-Step,"Pathetic film music for orchestra, without choir, f-minor, 80 bpm, 100 seconds",Sample3.wav,2,2,0,2,1,2,2,11,samples\ACE-Step\Film music\Sample3.wav
ACE-Step,"Pathetic film music for orchestra, without choir, f-minor, 80 bpm, 100 seconds",Sample4.wav,2,2,0,2,1,2,2,11,samples\ACE-Step\Film music\Sample4.wav
ACE-Step,"Pathetic film music for orchestra, without choir, f-minor, 80 bpm, 100 seconds",Sample5.wav,2,2,0,2,1,2,2,11,samples\ACE-Step\Film music\Sample5.wav
ACE-Step,"Relaxing lofi with piano, e-major, 100 bpm, 100 seconds",Sample1.wav,2,0,1,2,1,2,2,10,samples\ACE-Step\Lofi\Sample1.wav
ACE-Step,"Relaxing lofi with piano, e-major, 100 bpm, 100 seconds",Sample2.wav,2,0,0,2,1,2,2,9,samples\ACE-Step\Lofi\Sample2.wav
ACE-Step,"Relaxing lofi with piano, e-major, 100 bpm, 100 seconds",Sample3.wav,2,2,0,2,1,2,2,11,samples\ACE-Step\Lofi\Sample3.wav
ACE-Step,"Relaxing lofi with piano, e-major, 100 bpm, 100 seconds",Sample4.wav,2,0,0,2,1,2,2,9,samples\ACE-Step\Lofi\Sample4.wav
ACE-Step,"Relaxing lofi with piano, e-major, 100 bpm, 100 seconds",Sample5.wav,2,0,0,1,1,2,2,8,samples\ACE-Step\Lofi\Sample5.wav
ACE-Step,"Energetic techno, synthesizer, e-minor, 140 bpm, 100 seconds",Sample1.wav,2,1,0,1,1,2,2,9,samples\ACE-Step\Techno\Sample1.wav
ACE-Step,"Energetic techno, synthesizer, e-minor, 140 bpm, 100 seconds",Sample2.wav,2,0,0,1,1,2,2,8,samples\ACE-Step\Techno\Sample2.wav
ACE-Step,"Energetic techno, synthesizer, e-minor, 140 bpm, 100 seconds",Sample3.wav,2,0,0,1,1,2,2,8,samples\ACE-Step\Techno\Sample3.wav
ACE-Step,"Energetic techno, synthesizer, e-minor, 140 bpm, 100 seconds",Sample4.wav,2,0,0,1,2,2,2,9,samples\ACE-Step\Techno\Sample4.wav
ACE-Step,"Energetic techno, synthesizer, e-minor, 140 bpm, 100 seconds",Sample5.wav,2,0,0,2,1,2,2,9,samples\ACE-Step\Techno\Sample5.wav
DiffRhythm,"Pathetic film music for orchestra, without choir, f-minor, 80 bpm, 100 seconds",Sample1.wav,2,2,1,2,1,2,2,12,samples\DiffRhythm\Film music\Sample1.wav
DiffRhythm,"Pathetic film music for orchestra, without choir, f-minor, 80 bpm, 100 seconds",Sample2.wav,2,1,0,2,1,2,2,10,samples\DiffRhythm\Film music\Sample2.wav
DiffRhythm,"Pathetic film music for orchestra, without choir, f-minor, 80 bpm, 100 seconds",Sample3.wav,2,2,0,2,1,2,2,11,samples\DiffRhythm\Film music\Sample3.wav
DiffRhythm,"Pathetic film music for orchestra, without choir, f-minor, 80 bpm, 100 seconds",Sample4.wav,2,2,0,2,1,2,2,11,samples\DiffRhythm\Film music\Sample4.wav
DiffRhythm,"Pathetic film music for orchestra, without choir, f-minor, 80 bpm, 100 seconds",Sample5.wav,2,2,0,2,1,2,2,11,samples\DiffRhythm\Film music\Sample5.wav
DiffRhythm,"Relaxing lofi with piano, e-major, 100 bpm, 100 seconds",Sample1.wav,2,2,1,1,1,2,2,11,samples\DiffRhythm\Lofi\Sample1.wav
DiffRhythm,"Relaxing lofi with piano, e-major, 100 bpm, 100 seconds",Sample2.wav,2,0,0,2,1,2,2,9,samples\DiffRhythm\Lofi\Sample2.wav
DiffRhythm,"Relaxing lofi with piano, e-major, 100 bpm, 100 seconds",Sample3.wav,2,2,0,2,1,2,2,11,samples\DiffRhythm\Lofi\Sample3.wav
DiffRhythm,"Relaxing lofi with piano, e-major, 100 bpm, 100 seconds",Sample4.wav,2,2,0,2,1,2,2,11,samples\DiffRhythm\Lofi\Sample4.wav
DiffRhythm,"Relaxing lofi with piano, e-major, 100 bpm, 100 seconds",Sample5.wav,2,2,0,1,1,1,1,8,samples\DiffRhythm\Lofi\Sample5.wav
DiffRhythm,"Energetic techno, synthesizer, e-minor, 140 bpm, 100 seconds",Sample1.wav,2,2,0,1,1,2,2,10,samples\DiffRhythm\Techno\Sample1.wav
DiffRhythm,"Energetic techno, synthesizer, e-minor, 140 bpm, 100 seconds",Sample2.wav,2,0,0,2,1,2,2,9,samples\DiffRhythm\Techno\Sample2.wav
